iter	Passed	Remaining
0	135	135739
1	136	68041
2	137	45547
3	137	34245
4	138	27467
5	138	22951
6	139	19722
7	139	17303
8	140	15420
9	140	13913
10	141	12680
11	141	11653
12	142	10784
13	142	10041
14	143	9396
15	143	8831
16	144	8333
17	144	7889
18	145	7494
19	145	7136
20	146	6812
21	146	6517
22	147	6250
23	147	6003
24	148	5776
25	148	5566
26	149	5371
27	149	5190
28	150	5023
29	150	4867
30	150	4719
31	151	4580
32	151	4450
33	152	4327
34	152	4210
35	153	4101
36	153	3998
37	154	3900
38	154	3806
39	154	3718
40	155	3633
41	155	3553
42	156	3483
43	156	3411
44	157	3341
45	157	3274
46	158	3210
47	158	3149
48	159	3090
49	159	3034
50	160	2979
51	160	2927
52	161	2876
53	161	2829
54	162	2783
55	162	2743
56	163	2700
57	163	2659
58	164	2619
59	164	2580
60	165	2543
61	165	2507
62	166	2472
63	166	2438
64	167	2405
65	167	2373
66	168	2342
67	168	2312
68	169	2283
69	169	2255
70	170	2227
71	170	2200
72	171	2174
73	171	2148
74	172	2124
75	172	2100
76	173	2076
77	173	2053
78	174	2030
79	174	2009
80	175	1989
81	175	1969
82	176	1946
83	176	1926
84	177	1907
85	177	1888
86	178	1869
87	178	1851
88	179	1834
89	179	1817
90	180	1800
91	180	1785
92	181	1770
93	182	1754
94	182	1738
95	183	1723
96	183	1708
97	184	1694
98	184	1679
99	185	1665
100	185	1652
101	186	1638
102	186	1625
103	187	1613
104	187	1600
105	188	1587
106	188	1574
107	189	1562
108	189	1550
109	190	1539
110	190	1527
111	191	1516
112	191	1504
113	192	1493
114	192	1482
115	193	1473
116	193	1462
117	194	1452
118	194	1442
119	195	1432
120	195	1422
121	196	1412
122	196	1402
123	197	1393
124	197	1383
125	198	1375
126	198	1365
127	199	1356
128	199	1350
129	200	1341
130	200	1333
131	201	1324
132	201	1316
133	202	1308
134	202	1300
135	203	1292
136	203	1284
137	204	1277
138	204	1269
139	205	1263
140	206	1256
141	206	1248
142	207	1241
143	207	1233
144	208	1226
145	208	1219
146	209	1213
147	209	1206
148	210	1199
149	210	1193
150	211	1186
151	211	1180
152	217	1204
153	218	1198
154	218	1192
155	219	1186
156	219	1180
157	220	1174
158	220	1168
159	221	1161
160	221	1154
161	222	1149
162	222	1143
163	223	1137
164	223	1131
165	224	1125
166	224	1122
167	225	1116
168	225	1111
169	226	1105
170	226	1100
171	227	1094
172	227	1089
173	228	1084
174	228	1079
175	229	1074
176	229	1068
177	230	1063
178	230	1059
179	231	1054
180	231	1049
181	232	1045
182	233	1040
183	233	1035
184	233	1030
185	234	1026
186	234	1021
187	235	1017
188	235	1012
189	236	1007
190	236	1003
191	237	999
192	238	995
193	238	990
194	238	986
195	239	981
196	239	977
197	240	973
198	240	968
199	241	964
200	241	960
201	242	956
202	242	952
203	242	948
204	243	944
205	243	940
206	244	936
207	244	932
208	245	928
209	245	925
210	246	921
211	246	917
212	247	914
213	247	910
214	248	907
215	249	903
216	249	900
217	250	896
218	250	893
219	250	889
220	251	886
221	251	883
222	252	879
223	252	876
224	253	872
225	253	869
226	254	866
227	254	863
228	255	859
229	255	856
230	256	853
231	256	850
232	257	847
233	257	844
234	258	840
235	258	837
236	259	834
237	259	831
238	260	828
239	260	826
240	261	823
241	261	820
242	262	817
243	262	814
244	263	811
245	263	808
246	264	805
247	264	803
248	265	800
249	265	797
250	266	794
251	266	791
252	267	788
253	267	786
254	268	783
255	268	780
256	269	778
257	269	775
258	270	772
259	270	770
260	271	767
261	271	765
262	272	762
263	272	760
264	273	757
265	273	754
266	274	752
267	274	750
268	275	747
269	275	745
270	276	743
271	276	740
272	277	738
273	277	735
274	278	733
275	278	731
276	279	728
277	279	726
278	280	724
279	280	722
280	281	719
281	281	717
282	282	715
283	282	713
284	283	710
285	283	708
286	284	706
287	284	704
288	285	702
289	285	699
290	286	697
291	286	695
292	287	693
293	287	691
294	288	689
295	288	687
296	289	685
297	289	683
298	290	680
299	290	678
300	291	676
301	291	674
302	292	672
303	292	670
304	293	668
305	293	666
306	294	664
307	294	662
308	295	660
309	295	658
310	296	656
311	296	654
312	297	652
313	297	650
314	298	648
315	298	646
316	299	644
317	299	642
318	300	640
319	300	638
320	301	636
321	301	635
322	302	633
323	302	631
324	303	629
325	303	627
326	304	626
327	304	624
328	305	622
329	305	620
330	306	619
331	306	617
332	307	615
333	307	613
334	308	611
335	308	610
336	309	608
337	309	606
338	310	604
339	310	603
340	311	601
341	311	599
342	312	597
343	312	596
344	313	594
345	313	592
346	314	591
347	314	589
348	314	587
349	315	585
350	315	584
351	316	582
352	316	580
353	317	579
354	317	577
355	318	575
356	318	574
357	319	572
358	319	570
359	320	569
360	320	567
361	321	565
362	321	564
363	322	562
364	322	561
365	322	559
366	323	557
367	323	556
368	324	554
369	324	553
370	325	551
371	325	550
372	326	548
373	326	546
374	327	545
375	327	544
376	328	542
377	328	541
378	329	539
379	330	538
380	330	537
381	331	535
382	331	534
383	332	532
384	332	531
385	333	529
386	333	528
387	334	526
388	334	525
389	335	524
390	335	522
391	336	521
392	336	519
393	337	518
394	337	517
395	338	515
396	338	514
397	339	513
398	339	511
399	340	510
400	340	508
401	341	507
402	341	506
403	342	504
404	342	503
405	343	502
406	343	500
407	344	499
408	344	498
409	345	496
410	345	495
411	346	494
412	346	493
413	347	491
414	348	490
415	348	489
416	349	488
417	349	486
418	350	485
419	350	484
420	351	482
421	351	481
422	352	480
423	352	479
424	353	477
425	353	476
426	354	475
427	354	473
428	355	472
429	355	471
430	356	470
431	356	468
432	357	467
433	357	466
434	358	465
435	358	463
436	359	462
437	359	461
438	360	460
439	360	459
440	361	457
441	361	456
442	362	455
443	362	454
444	363	453
445	363	452
446	364	450
447	364	449
448	365	448
449	365	447
450	366	445
451	366	444
452	367	443
453	367	442
454	368	441
455	368	440
456	369	438
457	369	437
458	370	436
459	371	435
460	371	434
461	372	433
462	372	432
463	373	431
464	374	430
465	374	429
466	375	428
467	375	427
468	376	425
469	376	424
470	377	423
471	377	422
472	378	421
473	378	420
474	379	419
475	379	418
476	380	417
477	381	416
478	381	415
479	382	413
480	382	412
481	383	411
482	383	410
483	384	409
484	384	408
485	385	407
486	385	406
487	386	405
488	386	404
489	387	403
490	387	402
491	388	401
492	389	400
493	389	398
494	390	397
495	390	396
496	391	395
497	391	394
498	392	393
499	392	392
500	393	391
501	393	390
502	394	389
503	394	388
504	394	387
505	395	386
506	395	384
507	396	383
508	396	382
509	397	381
510	397	380
511	398	379
512	398	378
513	399	377
514	399	376
515	400	375
516	400	374
517	400	373
518	401	372
519	402	371
520	402	370
521	402	369
522	403	367
523	403	366
524	404	365
525	405	365
526	405	364
527	406	363
528	406	361
529	407	360
530	407	360
531	408	359
532	408	358
533	409	357
534	409	356
535	410	355
536	410	354
537	411	353
538	411	352
539	412	351
540	412	350
541	413	349
542	413	348
543	414	347
544	414	346
545	415	345
546	415	344
547	416	343
548	416	342
549	417	341
550	417	340
551	418	339
552	418	338
553	419	337
554	419	336
555	420	335
556	420	334
557	421	333
558	421	332
559	421	331
560	422	330
561	422	329
562	423	328
563	423	327
564	424	326
565	424	325
566	425	324
567	425	323
568	425	322
569	426	321
570	426	320
571	427	319
572	427	318
573	428	317
574	428	316
575	429	315
576	429	314
577	430	314
578	430	313
579	431	312
580	431	311
581	432	310
582	432	309
583	433	308
584	433	307
585	434	306
586	434	305
587	435	304
588	435	304
589	436	303
590	436	302
591	437	301
592	437	300
593	437	299
594	438	298
595	438	297
596	439	296
597	439	295
598	440	294
599	440	293
600	441	292
601	441	291
602	441	290
603	442	290
604	442	289
605	443	288
606	443	287
607	444	286
608	444	285
609	445	284
610	445	283
611	446	282
612	446	282
613	447	281
614	447	280
615	448	279
616	448	278
617	449	277
618	449	276
619	449	275
620	450	274
621	450	273
622	451	273
623	451	272
624	452	271
625	452	270
626	453	269
627	453	268
628	454	267
629	454	266
630	454	266
631	455	265
632	455	264
633	456	263
634	456	262
635	457	261
636	457	260
637	458	259
638	458	259
639	459	258
640	459	257
641	460	256
642	460	255
643	461	254
644	461	254
645	462	253
646	462	252
647	463	251
648	463	250
649	464	249
650	464	249
651	465	248
652	465	247
653	466	246
654	466	245
655	467	244
656	467	244
657	468	243
658	468	242
659	468	241
660	469	240
661	469	239
662	470	239
663	470	238
664	471	237
665	471	236
666	472	235
667	472	234
668	473	234
669	473	233
670	474	232
671	474	231
672	474	230
673	475	229
674	475	229
675	476	228
676	476	227
677	477	226
678	477	225
679	478	224
680	478	224
681	478	223
682	479	222
683	479	221
684	480	220
685	480	220
686	481	219
687	481	218
688	482	217
689	482	216
690	482	215
691	483	215
692	483	214
693	484	213
694	484	212
695	485	211
696	485	211
697	486	210
698	486	209
699	487	208
700	487	208
701	488	207
702	488	206
703	489	205
704	489	204
705	489	204
706	490	203
707	490	202
708	491	201
709	491	200
710	492	200
711	492	199
712	493	198
713	493	197
714	494	196
715	494	196
716	495	195
717	495	194
718	496	193
719	496	193
720	497	192
721	497	191
722	498	190
723	498	190
724	498	189
725	499	188
726	499	187
727	500	186
728	500	186
729	501	185
730	501	184
731	502	183
732	502	183
733	503	182
734	503	181
735	504	180
736	504	180
737	504	179
738	505	178
739	505	177
740	506	176
741	506	176
742	507	175
743	507	174
744	508	173
745	508	173
746	508	172
747	509	171
748	509	170
749	510	170
750	510	169
751	511	168
752	511	167
753	512	167
754	512	166
755	513	165
756	513	164
757	514	164
758	514	163
759	515	162
760	515	161
761	516	161
762	516	160
763	517	159
764	517	159
765	518	158
766	518	157
767	519	156
768	520	156
769	520	155
770	521	154
771	521	154
772	522	153
773	522	152
774	523	151
775	523	151
776	524	150
777	524	149
778	525	148
779	525	148
780	526	147
781	526	146
782	526	146
783	527	145
784	527	144
785	528	143
786	529	143
787	529	142
788	529	141
789	530	140
790	530	140
791	531	139
792	531	138
793	532	138
794	533	137
795	533	136
796	534	136
797	534	135
798	535	134
799	535	133
800	536	133
801	536	132
